sentiment,text
negative,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!
negative,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds
negative,my whole body feels itchy and like its on fire 
negative,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. "
negative,@Kwesidei not the whole crew 
negative,Need a hug 
negative,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?"
negative,@Tatiana_K nope they didn't have it 
negative,@twittera que me muera ? 
negative,spring break in plain city... it's snowing 
negative,I just re-pierced my ears 
negative,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .
negative,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore "
negative,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown."
negative,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!
negative,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?
negative,about to file taxes 
negative,@LettyA ahh ive always wanted to see rent  love the soundtrack!!
negative,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? 
negative,@alydesigns i was out most of the day so didn't get much done 
negative,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* "
negative,@angry_barista I baked you a cake but I ated it 
negative,this week is not going as i had hoped 
negative,blagh class at 8 tomorrow 
negative,I hate when I have to call and wake people up 
negative,Just going to cry myself to sleep after watching Marley and Me.  
negative,im sad now  Miss.Lilly
negative,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again 
negative,Meh... Almost Lover is the exception... this track gets me depressed every time. 
negative,some1 hacked my account on aim  now i have to make a new one
negative,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though
negative,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! 
negative,@julieebaby awe i love you too!!!! 1 am here  i miss you
negative,@HumpNinja I cry my asian eyes to sleep at night 
negative,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now 
negative,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...
negative,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge
negative,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. 
negative,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend 
